Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Ohio County, WV",54069,11,41411,Unreliable,Unreliable
,"Raleigh County, WV",54081,23,73361,31.4,30.4
,"Randolph County, WV",54083,11,28695,Unreliable,Unreliable
,"Wood County, WV",54107,14,83518,Unreliable,Unreliable
,"Brown County, WI",55009,40,264542,15.1,14.4
,"Chippewa County, WI",55017,12,64658,Unreliable,Unreliable
,"Columbia County, WI",55021,11,57532,Unreliable,Unreliable
,"Dane County, WI",55025,54,546695,9.9,9.3
,"Dodge County, WI",55027,16,87839,Unreliable,Unreliable
,"Eau Claire County, WI",55035,22,104646,21,21.4
,"Fond du Lac County, WI",55039,22,103403,21.3,21
,"Jefferson County, WI",55055,13,84769,Unreliable,Unreliable
,"Kenosha County, WI",55059,28,169561,16.5,15.3
,"La Crosse County, WI",55063,17,118016,Unreliable,Unreliable
,"Lincoln County, WI",55069,10,27593,Unreliable,Unreliable
,"Manitowoc County, WI",55071,20,78981,25.3,24.6
,"Marathon County, WI",55073,25,135692,18.4,18.4
,"Milwaukee County, WI",55079,108,945726,11.4,11.3
,"Oneida County, WI",55085,11,35595,Unreliable,Unreliable
,"Outagamie County, WI",55087,25,187885,13.3,12.7
,"Ozaukee County, WI",55089,11,89221,Unreliable,Unreliable
,"Racine County, WI",55101,31,196311,15.8,15.3
,"Rock County, WI",55105,20,163354,12.2,14.5
,"Sauk County, WI",55111,10,64442,Unreliable,Unreliable
,"Sheboygan County, WI",55117,16,115340,Unreliable,Unreliable
,"Walworth County, WI",55127,15,103868,Unreliable,Unreliable
,"Washington County, WI",55131,25,136034,18.4,18.1
,"Waukesha County, WI",55133,46,404198,11.4,10.6
,"Waupaca County, WI",55135,11,50990,Unreliable,Unreliable
,"Winnebago County, WI",55139,25,171907,14.5,13.8
,"Wood County, WI",55141,12,72999,Unreliable,Unreliable
,"Fremont County, WY",56013,15,39261,Unreliable,Unreliable
,"Laramie County, WY",56021,29,99500,29.1,28.2
,"Lincoln County, WY",56023,10,19830,Unreliable,Unreliable
,"Natrona County, WY",56025,29,79858,36.3,40.5
,"Park County, WY",56029,10,29194,Unreliable,Unreliable
,"Sweetwater County, WY",56037,19,42343,Unreliable,Unreliable
Total,,,47478,328239523,14.5,13.9
---,,,,,,
"Dataset: Underlying Cause of Death, 1999-2019",,,,,,
Query Parameters:,,,,,,
ICD-10 Codes: X60-X84 (Intentional self-harm),,,,,,
Year/Month: 2019,,,,,,
Group By: County,,,,,,
Show Totals: True,,,,,,
Show Zero Values: False,,,,,,
Show Suppressed: False,,,,,,
Standard Population: 2000 U.S. Std. Population,,,,,,
"Calculate Rates Per: 100,000",,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,
---,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information.,,,,,,
---,,,,,,
"Query Date: Jul 24, 2021 10:28:50 PM",,,,,,
---,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death",,,,,,
"1999-2019 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2019, as",,,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,,
"at http://wonder.cdc.gov/ucd-icd10.html on Jul 24, 2021 10:28:50 PM",,,,,,
---,,,,,,
Messages:,,,,,,
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above",,,,,,
to show zero rows.,,,,,,
"2. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use",,,,,,
Quick Options above to show suppressed rows.,,,,,,
---,,,,,,
Footnotes:,,,,,,
1. Data are not available for this area for all of the requested years. See Caveats below for more information.,,,,,,
---,,,,,,
Caveats:,,,,,,
"1. Data for Prince of Wales-Outer Ketchikan Census Area, AK (FIPS code 02201), Skagway-Hoonah-Angoon Census Area, AK (FIPS code",,,,,,
"02232) and Wrangell-Petersburg Census Area, AK (FIPS code 02280) are only available for 2013 and earlier; for computational",,,,,,
"purposes, counts and population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year",,,,,,
"requests for this entity do not include any data for years after 2013, only data for 2013 and earlier. More information:",,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Alaska2014.,,,,,,
"2. Data for Bedford city, Va. (FIPS code 51515) are only available for 2013 and earlier; for computational purposes, counts and",,,,,,
"population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year requests for this entity do",,,,,,
"not include any data for years after 2014, only data for 2013 and earlier. More information:",,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Bedford.,,,,,,
"3. Death rates for Clifton Forge city, Virginia (FIPS code 51560) are available only for 1999-2000. For 2001 and beyond, death",,,,,,
"counts and population estimates for Clifton Forge city have been combined with those for Alleghany county, Virginia (FIPS code",,,,,,
"51005). Death counts and population estimates for this entity from multi-year requests, only reflect data from 1999 and 2000;",,,,,,
for 2001 and beyond they have been set to zero. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Clifton Forge.,,,,,,
"4. Deaths and population estimates are shown separately from the adjacent counties for Carson City, Nevada (FIPS code 32510).",,,,,,
5. Deaths and population estimates are reported separately for Baltimore City (FIPS code 24510) and Baltimore county (FIPS code,,,,,,
24005).,,,,,,
6. Deaths and population estimates are reported separately for St. Louis City (FIPS code 29510) and county (FIPS code 29189).,,,,,,
7. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality.,,,,,,
8. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:,,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable.,,,,,,
9. The populations used to calculate standard age-adjusted rates are documented here: More information:,,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#2000 Standard Population.,,,,,,
10. The method used to calculate age-adjusted rates is documented here: More information:,,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Age-Adjusted Rates.,,,,,,
"11. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates.",,,,,,
"12. The population figures for year 2019 are bridged-race estimates of the July 1 resident population, from the Vintage 2019",,,,,,
"postcensal series released by NCHS on July 9, 2020. The population figures for year 2018 are bridged-race estimates of the July",,,,,,
"1 resident population, from the Vintage 2018 postcensal series released by NCHS on June 25, 2019. The population figures for",,,,,,
"year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017 postcensal series released by NCHS",,,,,,
"on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July 1 resident population, from the",,,,,,
"Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for year 2015 are bridged-race",,,,,,
"estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS on June 28, 2016. The",,,,,,
"population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the Vintage 2014 postcensal",,,,,,
"series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race estimates of the July 1 resident",,,,,,
"population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The population figures for year 2012 are",,,,,,
"bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal series released by NCHS on June 13,",,,,,,
"2013. The population figures for year 2011 are bridged-race estimates of the July 1 resident population, from the Vintage 2011",,,,,,
"postcensal series released by NCHS on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population",,,,,,
"figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident population, from the revised intercensal",,,,,,
"county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts.",,,,,,
Population figures for 1999 are from the 1990-1999 intercensal series of July 1 estimates. Population figures for the infant age,,,,,,
groups are the number of live births. <br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from,,,,,,
"previously published reports, due to use of the population estimates which were available at the time of release.",,,,,,
13. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group.,,,,,,
