Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Santa Clara County, CA",6085,172,1927852,8.9,8.4
,"Santa Cruz County, CA",6087,44,273213,16.1,14
,"Shasta County, CA",6089,52,180080,28.9,28.1
,"Siskiyou County, CA",6093,12,43539,Unreliable,Unreliable
,"Solano County, CA",6095,60,447643,13.4,12.8
,"Sonoma County, CA",6097,83,494336,16.8,14.9
,"Stanislaus County, CA",6099,74,550660,13.4,13.4
,"Sutter County, CA",6101,12,96971,Unreliable,Unreliable
,"Tehama County, CA",6103,11,65084,Unreliable,Unreliable
,"Tulare County, CA",6107,29,466195,6.2,6.7
,"Tuolumne County, CA",6109,11,54478,Unreliable,Unreliable
,"Ventura County, CA",6111,95,846006,11.2,10.2
,"Yolo County, CA",6113,24,220500,10.9,11.2
,"Yuba County, CA",6115,17,78668,Unreliable,Unreliable
,"Adams County, CO",8001,102,517421,19.7,20.4
,"Arapahoe County, CO",8005,122,656590,18.6,18
,"Boulder County, CO",8013,55,326196,16.9,15.8
,"Broomfield County, CO",8014,13,70465,Unreliable,Unreliable
,"Chaffee County, CO",8015,11,20356,Unreliable,Unreliable
,"Denver County, CO",8031,159,727211,21.9,20.9
,"Douglas County, CO",8035,56,351154,15.9,15.7
,"Eagle County, CO",8037,10,55127,Unreliable,Unreliable
,"El Paso County, CO",8041,206,720403,28.6,28.2
,"Fremont County, CO",8043,23,47839,48.1,44.7
,"Garfield County, CO",8045,20,60061,33.3,32.6
,"Jefferson County, CO",8059,112,582881,19.2,17.7
,"La Plata County, CO",8067,11,56221,Unreliable,Unreliable
,"Larimer County, CO",8069,81,356899,22.7,22.6
,"Mesa County, CO",8077,46,154210,29.8,31.3
,"Montrose County, CO",8085,16,42758,Unreliable,Unreliable
,"Park County, CO",8093,15,18845,Unreliable,Unreliable
,"Pueblo County, CO",8101,50,168424,29.7,30.3
,"Weld County, CO",8123,71,324492,21.9,22
,"Fairfield County, CT",9001,90,943332,9.5,9.1
,"Hartford County, CT",9003,108,891720,12.1,11.4
,"Litchfield County, CT",9005,24,180333,13.3,12.9
,"Middlesex County, CT",9007,31,162436,19.1,15.5
,"New Haven County, CT",9009,95,854757,11.1,10.1
,"New London County, CT",9011,44,265206,16.6,17
,"Tolland County, CT",9013,25,150721,16.6,14.5
,"Windham County, CT",9015,18,116782,Unreliable,Unreliable
,"Kent County, DE",10001,23,180786,12.7,14
,"New Castle County, DE",10003,63,558753,11.3,10.5
,"Sussex County, DE",10005,25,234225,10.7,10.5
,"District of Columbia, DC",11001,44,705749,6.2,6.2
,"Alachua County, FL",12001,31,269043,11.5,11.7
,"Bay County, FL",12005,35,174705,20,18.3
,"Brevard County, FL",12009,139,601942,23.1,19.6
,"Broward County, FL",12011,241,1952778,12.3,11.1
,"Charlotte County, FL",12015,50,188910,26.5,23.5
,"Citrus County, FL",12017,46,149657,30.7,25.9
,"Clay County, FL",12019,43,219252,19.6,18
,"Collier County, FL",12021,48,384902,12.5,12.1
,"Columbia County, FL",12023,20,71686,27.9,28.1
,"Duval County, FL",12031,177,957755,18.5,17.7
,"Escambia County, FL",12033,53,318316,16.7,15.5
,"Flagler County, FL",12035,25,115081,21.7,18.7
,"Gadsden County, FL",12039,13,45660,Unreliable,Unreliable
,"Hernando County, FL",12053,43,193920,22.2,19.5
,"Highlands County, FL",12055,28,106221,26.4,23.3
,"Hillsborough County, FL",12057,220,1471968,14.9,14
,"Indian River County, FL",12061,29,159923,18.1,16.1
,"Lake County, FL",12069,78,367118,21.2,19.3
,"Lee County, FL",12071,124,770577,16.1,14.1
,"Leon County, FL",12073,33,293582,11.2,11.2
,"Manatee County, FL",12081,76,403253,18.8,16.7
,"Marion County, FL",12083,78,365579,21.3,18.2
,"Martin County, FL",12085,32,161000,19.9,15.7
,"Miami-Dade County, FL",12086,278,2716940,10.2,9.2
,"Monroe County, FL",12087,22,74228,29.6,24.6
,"Nassau County, FL",12089,17,88625,Unreliable,Unreliable
,"Okaloosa County, FL",12091,37,210738,17.6,17.5
,"Orange County, FL",12095,139,1393452,10,9.5
,"Osceola County, FL",12097,52,375751,13.8,13.4
,"Palm Beach County, FL",12099,235,1496770,15.7,13.9
,"Pasco County, FL",12101,121,553947,21.8,20.1
,"Pinellas County, FL",12103,189,974996,19.4,16.8
,"Polk County, FL",12105,135,724777,18.6,17.1
,"Putnam County, FL",12107,12,74521,Unreliable,Unreliable
,"St. Johns County, FL",12109,52,264672,19.6,16.9
,"St. Lucie County, FL",12111,47,328297,14.3,12.7
,"Santa Rosa County, FL",12113,35,184313,19,18.3
,"Sarasota County, FL",12115,87,433742,20.1,19.1
,"Seminole County, FL",12117,55,471826,11.7,10.8
,"Sumter County, FL",12119,36,132420,27.2,25.5
,"Suwannee County, FL",12121,12,44417,Unreliable,Unreliable
,"Volusia County, FL",12127,128,553284,23.1,20.6
,"Walton County, FL",12131,14,74071,Unreliable,Unreliable
,"Barrow County, GA",13013,20,83240,24,23.6
,"Bartow County, GA",13015,28,107738,26,25.7
,"Bibb County, GA",13021,21,153159,13.7,13.4
,"Carroll County, GA",13045,17,119992,Unreliable,Unreliable
,"Catoosa County, GA",13047,16,67580,Unreliable,Unreliable
,"Chatham County, GA",13051,64,289430,22.1,21.6
,"Cherokee County, GA",13057,43,258773,16.6,16.1
,"Clarke County, GA",13059,13,128331,Unreliable,Unreliable
,"Clayton County, GA",13063,26,292256,8.9,9
,"Cobb County, GA",13067,91,760141,12,11.8
,"Columbia County, GA",13073,17,156714,Unreliable,Unreliable
,"Coweta County, GA",13077,29,148509,19.5,18.5
,"DeKalb County, GA",13089,94,759297,12.4,12.1
