"","State","County","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","X90th.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10"
"99","CA","Sutter County",365,239,124,2,0,0,0,110,71,44,0,0,249,0,109,7
"100","CA","Tehama County",365,282,83,0,0,0,0,93,64,41,0,0,323,0,41,1
"101","CA","Trinity County",269,246,21,2,0,0,0,113,49,18,0,0,0,0,269,0
"102","CA","Tulare County",365,127,157,78,2,1,0,280,122,66,0,2,242,0,99,22
"103","CA","Tuolumne County",358,273,83,2,0,0,0,108,67,43,0,0,358,0,0,0
"104","CA","Ventura County",365,214,142,9,0,0,0,126,77,46,0,5,284,0,65,11
"105","CA","Yolo County",365,284,80,1,0,0,0,136,61,41,0,1,279,0,82,3
"106","CO","Adams County",365,223,141,1,0,0,0,132,64,47,0,48,150,0,87,80
"107","CO","Alamosa County",107,107,0,0,0,0,0,21,17,9,0,0,0,0,107,0
"108","CO","Arapahoe County",365,227,132,6,0,0,0,140,80,46,0,0,352,0,13,0
"109","CO","Archuleta County",363,331,30,2,0,0,0,124,50,31,0,3,186,0,0,174
"110","CO","Boulder County",365,227,133,5,0,0,0,119,74,47,0,0,269,0,96,0
"111","CO","Clear Creek County",290,205,84,1,0,0,0,112,67,46,0,0,290,0,0,0
"112","CO","Delta County",365,339,26,0,0,0,0,80,50,41,0,0,346,0,19,0
"113","CO","Denver County",365,179,183,2,1,0,0,153,74,51,0,116,151,1,97,0
"114","CO","Douglas County",361,236,114,10,1,0,0,154,77,46,0,0,304,0,57,0
"115","CO","El Paso County",365,259,106,0,0,0,0,100,67,45,0,0,345,0,18,2
"116","CO","Fremont County",32,32,0,0,0,0,0,29,23,13,0,0,0,0,0,32
"117","CO","Garfield County",365,309,56,0,0,0,0,97,54,44,0,0,363,0,2,0
"118","CO","Gilpin County",143,117,25,1,0,0,0,115,58,45,0,0,143,0,0,0
"119","CO","Gunnison County",358,279,78,1,0,0,0,101,61,45,0,0,358,0,0,0
"120","CO","Jackson County",102,102,0,0,0,0,0,25,13,6,0,0,0,0,102,0
"121","CO","Jefferson County",365,238,111,16,0,0,0,129,87,46,0,2,363,0,0,0
"122","CO","La Plata County",365,276,89,0,0,0,0,87,61,44,0,10,326,0,29,0
"123","CO","Larimer County",365,208,151,6,0,0,0,129,77,48,0,0,337,0,28,0
"124","CO","Mesa County",364,289,75,0,0,0,0,87,58,44,2,0,309,0,51,2
"125","CO","Montezuma County",365,279,86,0,0,0,0,97,61,46,0,0,365,0,0,0
"126","CO","Pitkin County",121,121,0,0,0,0,0,46,19,10,0,0,0,0,12,109
"127","CO","Prowers County",346,343,3,0,0,0,0,76,28,14,0,0,0,0,0,346
"128","CO","Pueblo County",126,125,1,0,0,0,0,68,31,20,0,0,0,0,75,51
"129","CO","Rio Blanco County",365,311,54,0,0,0,0,100,54,44,0,0,321,0,44,0
"130","CO","Routt County",356,353,2,1,0,0,0,137,27,13,0,0,0,0,0,356
"131","CO","San Juan County",116,116,0,0,0,0,0,24,14,7,0,0,0,0,116,0
"132","CO","San Miguel County",113,112,1,0,0,0,0,54,22,11,0,0,0,0,0,113
"133","CO","Weld County",365,252,110,3,0,0,0,125,69,45,0,0,236,0,129,0
"134","CT","Fairfield County",365,262,82,18,3,0,0,161,77,43,0,9,186,0,169,1
"135","CT","Hartford County",365,301,59,5,0,0,0,122,55,39,0,26,240,0,98,1
"136","CT","Litchfield County",365,342,23,0,0,0,0,97,48,37,0,0,339,0,26,0
"137","CT","Middlesex County",205,175,23,6,1,0,0,154,61,41,0,0,205,0,0,0
"138","CT","New Haven County",365,280,71,12,2,0,0,159,67,41,0,15,247,0,99,4
"139","CT","New London County",364,323,34,7,0,0,0,129,52,37,0,0,200,0,164,0
"140","CT","Tolland County",212,187,20,5,0,0,0,126,54,42,0,0,212,0,0,0
"141","CT","Windham County",360,344,15,1,0,0,0,105,46,36,0,0,360,0,0,0
"142","DE","Kent County",365,293,72,0,0,0,0,83,58,42,0,0,273,0,92,0
"143","DE","New Castle County",365,259,103,3,0,0,0,136,68,43,0,7,253,0,105,0
"144","DE","Sussex County",365,299,66,0,0,0,0,93,58,42,0,0,279,0,86,0
"145","District Of Columbia","District of Columbia",365,242,118,4,1,0,0,157,71,44,0,32,221,0,112,0
"146","FL","Alachua County",364,329,35,0,0,0,0,80,50,35,0,0,273,0,91,0
"147","FL","Baker County",361,341,20,0,0,0,0,77,48,33,0,0,361,0,0,0
"148","FL","Bay County",357,308,49,0,0,0,0,85,54,38,0,0,235,0,122,0
"149","FL","Brevard County",351,336,15,0,0,0,0,90,46,36,0,0,306,0,45,0
"150","FL","Broward County",363,303,60,0,0,0,0,90,54,40,2,9,165,0,187,0
"151","FL","Citrus County",365,337,28,0,0,0,0,80,48,30,0,0,0,8,357,0
"152","FL","Collier County",362,331,31,0,0,0,0,90,50,34,0,0,197,0,165,0
"153","FL","Columbia County",363,294,69,0,0,0,0,90,58,38,0,0,207,0,156,0
"154","FL","Duval County",361,248,112,1,0,0,0,114,64,43,0,0,174,0,187,0
"155","FL","Escambia County",365,290,74,1,0,0,0,101,57,40,0,0,271,0,94,0
"156","FL","Flagler County",270,265,5,0,0,0,0,74,45,34,0,0,270,0,0,0
"157","FL","Hamilton County",349,313,36,0,0,0,0,79,51,31,0,0,0,33,316,0
"158","FL","Highlands County",233,224,9,0,0,0,0,84,46,36,0,0,233,0,0,0
"159","FL","Hillsborough County",365,281,78,6,0,0,0,132,64,42,0,0,211,4,150,0
"160","FL","Holmes County",362,289,73,0,0,0,0,84,56,40,0,0,203,0,159,0
"161","FL","Indian River County",335,324,11,0,0,0,0,90,47,36,0,0,335,0,0,0
"162","FL","Lake County",330,301,28,1,0,0,0,101,50,35,0,0,330,0,0,0
"163","FL","Lee County",365,328,36,1,0,0,0,108,51,36,0,0,251,0,110,4
"164","FL","Leon County",360,275,84,1,0,0,0,119,58,38,0,0,168,0,192,0
"165","FL","Liberty County",351,339,12,0,0,0,0,74,45,33,0,0,351,0,0,0
"166","FL","Manatee County",365,333,30,2,0,0,0,108,49,36,0,0,365,0,0,0
"167","FL","Marion County",365,311,54,0,0,0,0,87,54,38,0,0,236,0,129,0
"168","FL","Martin County",352,323,29,0,0,0,0,84,49,35,0,0,235,0,117,0
"169","FL","Miami-Dade County",363,317,44,2,0,0,0,146,52,38,1,23,150,0,188,1
"170","FL","Nassau County",351,326,25,0,0,0,0,71,46,28,0,0,0,97,254,0
"171","FL","Okaloosa County",363,335,28,0,0,0,0,84,48,36,0,0,342,0,0,21
"172","FL","Orange County",360,321,39,0,0,0,0,93,51,36,1,1,300,0,58,0
"173","FL","Osceola County",364,338,22,4,0,0,0,122,48,34,0,0,364,0,0,0
"174","FL","Palm Beach County",357,320,37,0,0,0,0,93,51,35,0,0,215,0,140,2
"175","FL","Pasco County",365,336,29,0,0,0,0,97,49,36,0,0,365,0,0,0
"176","FL","Pinellas County",365,296,69,0,0,0,0,100,59,40,0,0,213,0,148,4
"177","FL","Polk County",365,314,51,0,0,0,0,100,54,36,0,0,248,2,115,0
"178","FL","Putnam County",352,347,5,0,0,0,0,54,29,17,0,0,0,6,0,346
"179","FL","Santa Rosa County",364,307,57,0,0,0,0,93,57,39,0,0,241,0,123,0
"180","FL","Sarasota County",365,323,42,0,0,0,0,100,52,37,0,0,246,0,119,0
"181","FL","Seminole County",365,322,42,1,0,0,0,110,52,37,0,0,297,0,67,1
"182","FL","St. Lucie County",352,342,10,0,0,0,0,77,46,34,0,0,352,0,0,0
"183","FL","Volusia County",350,316,34,0,0,0,0,80,50,37,0,0,241,0,109,0
"184","FL","Wakulla County",363,316,47,0,0,0,0,84,54,35,0,0,256,2,105,0
"185","GA","Bibb County",365,278,84,3,0,0,0,137,61,38,0,0,158,3,204,0
"186","GA","Charlton County",103,100,3,0,0,0,0,61,36,20,0,0,0,0,103,0
"187","GA","Chatham County",365,295,70,0,0,0,0,87,56,39,0,0,146,58,161,0
"188","GA","Chattooga County",244,231,13,0,0,0,0,71,48,40,0,0,244,0,0,0
"189","GA","Clarke County",365,245,120,0,0,0,0,87,61,44,0,0,136,0,229,0
"190","GA","Clayton County",119,98,21,0,0,0,0,70,54,36,0,0,0,0,119,0
"191","GA","Cobb County",282,224,57,1,0,0,0,119,60,42,0,0,210,0,72,0
"192","GA","Coffee County",121,107,14,0,0,0,0,66,52,26,0,0,0,0,121,0
"193","GA","Columbia County",245,229,16,0,0,0,0,74,49,39,0,0,245,0,0,0
"194","GA","Dawson County",244,225,18,1,0,0,0,126,48,37,0,0,244,0,0,0
"195","GA","DeKalb County",365,251,110,3,1,0,0,159,64,44,0,34,156,0,175,0
"196","GA","Dougherty County",356,236,118,2,0,0,0,107,63,40,0,0,0,0,356,0
"197","GA","Douglas County",245,212,28,5,0,0,0,126,58,40,0,0,245,0,0,0
"198","GA","Floyd County",365,217,148,0,0,0,0,89,62,44,0,0,0,5,360,0
"199","GA","Fulton County",365,192,166,6,1,0,0,172,74,49,0,19,130,0,216,0
"200","GA","Glynn County",279,254,25,0,0,0,0,80,50,36,0,0,224,0,55,0
"201","GA","Gwinnett County",355,221,132,2,0,0,0,112,69,45,0,0,152,0,203,0
"202","GA","Hall County",340,259,81,0,0,0,0,88,57,37,0,0,0,0,340,0
"203","GA","Henry County",363,283,73,7,0,0,0,150,59,37,0,0,166,0,197,0
"204","GA","Houston County",354,246,106,1,1,0,0,152,61,38,0,0,0,0,354,0
"205","GA","Lowndes County",309,255,54,0,0,0,0,68,55,35,0,0,0,0,309,0
"206","GA","Murray County",269,230,39,0,0,0,0,93,54,42,0,0,239,0,30,0
"207","GA","Muscogee County",364,274,90,0,0,0,0,90,58,40,0,0,149,0,215,0
"208","GA","Pike County",353,307,43,3,0,0,0,147,58,37,0,0,353,0,0,0
"209","GA","Richmond County",364,231,131,2,0,0,0,101,64,45,0,0,127,16,203,18
"210","GA","Rockdale County",241,186,50,5,0,0,0,129,67,43,0,0,241,0,0,0
"211","GA","Sumter County",238,211,27,0,0,0,0,97,54,39,0,0,238,0,0,0
"212","GA","Walker County",356,269,87,0,0,0,0,82,57,37,0,0,0,0,356,0
"213","GA","Washington County",211,176,34,1,0,0,0,116,54,29,0,0,0,0,211,0
"214","HI","Hawaii County",365,357,8,0,0,0,0,79,29,16,0,0,0,52,313,0
"215","HI","Honolulu County",365,339,26,0,0,0,0,94,46,29,1,3,262,65,33,1
"216","HI","Kauai County",365,363,2,0,0,0,0,71,27,13,0,144,0,3,218,0
"217","HI","Maui County",362,347,11,3,1,0,0,166,30,15,0,0,0,0,362,0
"218","ID","Ada County",365,317,48,0,0,0,0,100,53,38,0,8,240,0,112,5
"219","ID","Bannock County",365,344,21,0,0,0,0,96,46,27,0,0,0,152,135,78
"220","ID","Benewah County",364,242,111,9,2,0,0,154,74,37,0,0,0,0,364,0
"221","ID","Blaine County",314,313,1,0,0,0,0,51,25,15,0,0,0,0,314,0
"222","ID","Boise County",365,290,72,2,1,0,0,165,60,33,0,0,0,0,365,0
"223","ID","Bonner County",365,316,48,1,0,0,0,115,55,21,0,0,0,0,272,93
"224","ID","Bonneville County",357,342,15,0,0,0,0,63,43,29,0,0,0,0,357,0
"225","ID","Butte County",361,348,13,0,0,0,0,71,48,40,0,0,359,0,2,0
"226","ID","Canyon County",365,311,54,0,0,0,0,95,54,25,0,0,0,0,274,91
"227","ID","Caribou County",330,326,2,2,0,0,0,108,24,6,0,0,0,330,0,0
"228","ID","Custer County",96,96,0,0,0,0,0,38,17,6,0,0,0,0,96,0
"229","ID","Franklin County",364,333,28,3,0,0,0,112,44,18,0,0,0,0,364,0
"230","ID","Idaho County",365,297,68,0,0,0,0,88,55,40,0,0,214,0,151,0
"231","ID","Jerome County",353,353,0,0,0,0,0,48,28,15,0,0,0,0,353,0
"232","ID","Kootenai County",355,318,37,0,0,0,0,86,51,23,0,0,0,0,355,0
"233","ID","Latah County",350,350,0,0,0,0,0,48,26,10,0,0,0,0,350,0
"234","ID","Lemhi County",360,269,87,4,0,0,0,133,69,23,0,0,0,0,360,0
"235","ID","Nez Perce County",360,309,51,0,0,0,0,89,56,24,0,0,0,0,360,0
"236","ID","Shoshone County",365,260,102,3,0,0,0,117,72,29,0,0,0,0,353,12
"237","ID","Twin Falls County",365,361,4,0,0,0,0,71,33,19,0,0,0,0,365,0
"238","ID","Valley County",357,290,67,0,0,0,0,91,61,22,0,0,0,0,357,0
"239","IL","Adams County",241,208,33,0,0,0,0,93,54,41,0,0,241,0,0,0
"240","IL","Champaign County",365,281,84,0,0,0,0,100,61,42,0,0,235,0,130,0
"241","IL","Clark County",327,314,13,0,0,0,0,74,47,34,0,0,327,0,0,0
"242","IL","Cook County",365,150,206,9,0,0,0,133,76,53,0,26,91,0,238,10
"243","IL","DuPage County",352,257,92,2,1,0,0,174,61,42,0,0,172,0,180,0
"244","IL","Effingham County",245,224,21,0,0,0,0,84,50,40,0,0,245,0,0,0
"245","IL","Hamilton County",344,269,74,1,0,0,0,105,58,43,0,0,198,0,146,0
"246","IL","Jersey County",347,284,61,2,0,0,0,119,58,42,0,0,207,0,140,0
"247","IL","Jo Daviess County",363,351,12,0,0,0,0,74,47,34,0,0,363,0,0,0
"248","IL","Kane County",284,229,51,4,0,0,0,112,63,40,0,0,226,0,58,0
"249","IL","La Salle County",335,334,1,0,0,0,0,60,4,0,0,0,0,335,0,0
"250","IL","Lake County",245,210,33,2,0,0,0,115,58,40,0,0,245,0,0,0
"251","IL","Macon County",365,255,110,0,0,0,0,93,61,44,0,0,148,30,187,0
"252","IL","Macoupin County",365,348,17,0,0,0,0,87,47,33,0,101,245,19,0,0
"253","IL","Madison County",365,192,170,1,2,0,0,156,71,49,0,0,186,2,174,3
"254","IL","McHenry County",340,230,108,2,0,0,0,126,61,44,0,0,142,0,198,0
"255","IL","McLean County",364,256,108,0,0,0,0,100,61,44,0,0,174,0,190,0
"256","IL","Monroe County",286,286,0,0,0,0,0,33,6,1,0,0,0,286,0,0
"257","IL","Peoria County",364,284,78,2,0,0,0,101,58,41,0,0,203,0,161,0
"258","IL","Randolph County",324,264,60,0,0,0,0,97,54,40,0,0,209,0,115,0
"259","IL","Rock Island County",361,281,78,2,0,0,0,115,59,42,0,0,186,0,175,0
"260","IL","Saint Clair County",365,272,92,1,0,0,0,108,60,43,1,62,169,0,133,0
"261","IL","Sangamon County",360,287,73,0,0,0,0,87,58,40,0,0,183,0,177,0
"262","IL","Tazewell County",346,346,0,0,0,0,0,36,9,1,0,0,0,346,0,0
"263","IL","Wabash County",364,361,3,0,0,0,0,82,10,1,0,0,0,364,0,0
"264","IL","Will County",365,260,105,0,0,0,0,84,62,43,0,0,140,0,225,0
"265","IL","Winnebago County",341,240,100,1,0,0,0,102,61,42,0,0,147,0,194,0
"266","IN","Allen County",365,262,102,1,0,0,0,101,61,43,0,0,218,0,147,0
"267","IN","Bartholomew County",364,298,66,0,0,0,0,77,54,41,0,0,268,0,96,0
"268","IN","Boone County",351,320,31,0,0,0,0,90,50,35,0,0,351,0,0,0
"269","IN","Brown County",365,349,16,0,0,0,0,74,47,35,0,0,365,0,0,0
"270","IN","Carroll County",358,333,25,0,0,0,0,84,49,35,0,0,358,0,0,0
"271","IN","Clark County",365,287,77,1,0,0,0,101,59,41,0,0,246,0,119,0
"272","IN","Daviess County",350,350,0,0,0,0,0,19,7,1,0,0,0,350,0,0
"273","IN","Delaware County",352,319,33,0,0,0,0,71,49,35,0,0,303,0,49,0
"274","IN","Dubois County",120,102,18,0,0,0,0,70,54,33,0,0,0,0,119,1
"275","IN","Elkhart County",365,294,71,0,0,0,0,81,55,37,0,0,231,0,134,0
"276","IN","Floyd County",363,338,25,0,0,0,0,87,48,35,0,0,360,3,0,0
"277","IN","Gibson County",359,355,4,0,0,0,0,84,17,3,0,0,0,359,0,0
"278","IN","Greene County",355,318,37,0,0,0,0,87,51,39,0,0,315,0,40,0
"279","IN","Hamilton County",365,268,95,2,0,0,0,119,61,41,0,0,217,0,148,0
"280","IN","Hendricks County",361,348,13,0,0,0,0,93,47,34,0,0,361,0,0,0
