"","State","County","County.Code","Deaths","Population","Crude.Rate","Age.Adjusted.Rate"
"172"," FL","Suwannee County",12121,12,44417,NA,NA
"173"," FL","Volusia County",12127,128,553284,"23.1","20.6"
"174"," FL","Walton County",12131,14,74071,NA,NA
"175"," GA","Barrow County",13013,20,83240,"24","23.6"
"176"," GA","Bartow County",13015,28,107738,"26","25.7"
"177"," GA","Bibb County",13021,21,153159,"13.7","13.4"
"178"," GA","Carroll County",13045,17,119992,NA,NA
"179"," GA","Catoosa County",13047,16,67580,NA,NA
"180"," GA","Chatham County",13051,64,289430,"22.1","21.6"
"181"," GA","Cherokee County",13057,43,258773,"16.6","16.1"
"182"," GA","Clarke County",13059,13,128331,NA,NA
"183"," GA","Clayton County",13063,26,292256,"8.9","9"
"184"," GA","Cobb County",13067,91,760141,"12","11.8"
"185"," GA","Columbia County",13073,17,156714,NA,NA
"186"," GA","Coweta County",13077,29,148509,"19.5","18.5"
"187"," GA","DeKalb County",13089,94,759297,"12.4","12.1"
"188"," GA","Dougherty County",13095,11,87956,NA,NA
"189"," GA","Douglas County",13097,26,146343,"17.8","18.4"
"190"," GA","Fayette County",13113,17,114421,NA,NA
"191"," GA","Floyd County",13115,25,98498,"25.4","25.4"
"192"," GA","Forsyth County",13117,26,244252,"10.6","10.3"
"193"," GA","Fulton County",13121,117,1063937,"11","10.7"
"194"," GA","Gilmer County",13123,12,31369,NA,NA
"195"," GA","Glynn County",13127,18,85292,NA,NA
"196"," GA","Gwinnett County",13135,114,936250,"12.2","12.3"
"197"," GA","Habersham County",13137,12,45328,NA,NA
"198"," GA","Hall County",13139,35,204441,"17.1","17.6"
"199"," GA","Henry County",13151,36,234561,"15.3","15.3"
"200"," GA","Houston County",13153,25,157863,"15.8","15.7"
"201"," GA","Jackson County",13157,15,72977,NA,NA
"202"," GA","Laurens County",13175,11,47546,NA,NA
"203"," GA","Lee County",13177,10,29992,NA,NA
"204"," GA","Liberty County",13179,15,61435,NA,NA
"205"," GA","Lowndes County",13185,16,117406,NA,NA
"206"," GA","Lumpkin County",13187,10,33610,NA,NA
"207"," GA","Monroe County",13207,12,27578,NA,NA
"208"," GA","Muscogee County",13215,24,195769,"12.3","11.6"
"209"," GA","Newton County",13217,25,111744,"22.4","21.2"
"210"," GA","Paulding County",13223,26,168667,"15.4","15.4"
"211"," GA","Pickens County",13227,11,32591,NA,NA
"212"," GA","Polk County",13233,11,42613,NA,NA
"213"," GA","Richmond County",13245,23,202518,"11.4","11.3"
"214"," GA","Rockdale County",13247,10,90896,NA,NA
"215"," GA","Spalding County",13255,17,66703,NA,NA
"216"," GA","Union County",13291,10,24511,NA,NA
"217"," GA","Walton County",13297,21,94593,"22.2","22"
"218"," GA","Whitfield County",13313,19,104628,NA,NA
"219"," HI","Hawaii County",15001,50,201513,"24.8","25.7"
"220"," HI","Honolulu County",15003,127,974563,"13","12.6"
"221"," HI","Kauai County",15007,13,72293,NA,NA
"222"," HI","Maui County",15009,34,167417,"20.3","20.7"
"223"," ID","Ada County",16001,84,481587,"17.4","16.7"
"224"," ID","Bannock County",16005,26,87808,"29.6","29.8"
"225"," ID","Bingham County",16011,12,46811,NA,NA
"226"," ID","Bonner County",16017,16,45739,NA,NA
"227"," ID","Bonneville County",16019,25,119062,"21","22.2"
"228"," ID","Canyon County",16027,45,229849,"19.6","19.7"
"229"," ID","Kootenai County",16055,39,165697,"23.5","24.1"
"230"," ID","Nez Perce County",16069,11,40408,NA,NA
"231"," ID","Twin Falls County",16083,22,86878,"25.3","24.8"
"232"," IL","Adams County",17001,14,65435,NA,NA
"233"," IL","Champaign County",17019,30,209689,"14.3","15"
"234"," IL","Christian County",17021,11,32304,NA,NA
"235"," IL","Cook County",17031,477,5150233,"9.3","8.7"
"236"," IL","DeKalb County",17037,16,104897,NA,NA
