"","State","County","County.Code","Deaths","Population","Crude.Rate","Age.Adjusted.Rate"
"468"," MT","Silver Bow County",30093,14,34915,NA,NA
"469"," MT","Yellowstone County",30111,54,161300,"33.5","31.2"
"470"," NE","Buffalo County",31019,12,49659,NA,NA
"471"," NE","Douglas County",31055,97,571327,"17","17"
"472"," NE","Lancaster County",31109,39,319090,"12.2","12.4"
"473"," NE","Madison County",31119,10,35099,NA,NA
"474"," NE","Sarpy County",31153,27,187196,"14.4","14.7"
"475"," NE","Scotts Bluff County",31157,15,35618,NA,NA
"476"," NV","Clark County",32003,419,2266715,"18.5","17.5"
"477"," NV","Douglas County",32005,22,48905,"45","50.4"
"478"," NV","Elko County",32007,22,52778,"41.7","44.1"
"479"," NV","Lyon County",32019,16,57510,NA,NA
"480"," NV","Nye County",32023,18,46523,NA,NA
"481"," NV","Washoe County",32031,111,471519,"23.5","22.3"
"482"," NV","Carson City",32510,17,55916,NA,NA
"483"," NH","Belknap County",33001,17,61303,NA,NA
"484"," NH","Carroll County",33003,11,48910,NA,NA
"485"," NH","Cheshire County",33005,16,76085,NA,NA
"486"," NH","Grafton County",33009,18,89886,NA,NA
"487"," NH","Hillsborough County",33011,92,417025,"22.1","20.8"
"488"," NH","Merrimack County",33013,30,151391,"19.8","18.2"
"489"," NH","Rockingham County",33015,39,309769,"12.6","12.1"
"490"," NH","Strafford County",33017,19,130633,NA,NA
"491"," NJ","Atlantic County",34001,33,263670,"12.5","11.8"
"492"," NJ","Bergen County",34003,88,932202,"9.4","8.7"
"493"," NJ","Burlington County",34005,48,445349,"10.8","9.4"
"494"," NJ","Camden County",34007,55,506471,"10.9","9.9"
"495"," NJ","Cumberland County",34011,18,149527,NA,NA
"496"," NJ","Essex County",34013,58,798975,"7.3","7.2"
"497"," NJ","Gloucester County",34015,30,291636,"10.3","9.2"
"498"," NJ","Hudson County",34017,40,672391,"5.9","5.4"
"499"," NJ","Hunterdon County",34019,18,124371,NA,NA
"500"," NJ","Mercer County",34021,27,367430,"7.3","7.5"
"501"," NJ","Middlesex County",34023,62,825062,"7.5","7.4"
"502"," NJ","Monmouth County",34025,54,618795,"8.7","8.2"
"503"," NJ","Morris County",34027,35,491845,"7.1","6.3"
"504"," NJ","Ocean County",34029,71,607186,"11.7","11.7"
"505"," NJ","Passaic County",34031,27,501826,"5.4","5.3"
"506"," NJ","Somerset County",34035,25,328934,"7.6","7.1"
"507"," NJ","Sussex County",34037,12,140488,NA,NA
"508"," NJ","Union County",34039,37,556341,"6.7","6.5"
"509"," NM","Bernalillo County",35001,160,679121,"23.6","22.6"
"510"," NM","Chaves County",35005,13,64615,NA,NA
"511"," NM","Cibola County",35006,11,26675,NA,NA
"512"," NM","Dona Ana County",35013,36,218195,"16.5","17.1"
"513"," NM","Eddy County",35015,20,58460,"34.2","34"
"514"," NM","Lea County",35025,10,71070,NA,NA
"515"," NM","McKinley County",35031,19,71367,NA,NA
"516"," NM","Otero County",35035,21,67490,"31.1","30"
"517"," NM","Sandoval County",35043,46,146748,"31.3","32.3"
"518"," NM","San Juan County",35045,33,123958,"26.6","29"
"519"," NM","Santa Fe County",35049,42,150358,"27.9","26.9"
"520"," NM","Valencia County",35061,14,76688,NA,NA
"521"," NY","Albany County",36001,35,305506,"11.5","10.9"
"522"," NY","Bronx County",36005,68,1418207,"4.8","4.7"
"523"," NY","Broome County",36007,19,190488,NA,NA
"524"," NY","Cattaraugus County",36009,12,76117,NA,NA
"525"," NY","Chautauqua County",36013,14,126903,NA,NA
"526"," NY","Chemung County",36015,11,83456,NA,NA
"527"," NY","Clinton County",36019,10,80485,NA,NA
"528"," NY","Columbia County",36021,12,59461,NA,NA
"529"," NY","Dutchess County",36027,40,294218,"13.6","12"
"530"," NY","Erie County",36029,105,918702,"11.4","10.9"
"531"," NY","Fulton County",36035,10,53383,NA,NA
"532"," NY","Greene County",36039,11,47188,NA,NA
"533"," NY","Jefferson County",36045,24,109834,"21.9","22"
"534"," NY","Kings County",36047,152,2559903,"5.9","5.8"
"535"," NY","Monroe County",36055,97,741770,"13.1","12.7"
"536"," NY","Nassau County",36059,84,1356924,"6.2","5.9"
"537"," NY","New York County",36061,131,1628706,"8","7.2"
"538"," NY","Niagara County",36063,18,209281,NA,NA
"539"," NY","Oneida County",36065,34,228671,"14.9","15.7"
"540"," NY","Onondaga County",36067,54,460528,"11.7","12.1"
"541"," NY","Ontario County",36069,22,109777,"20","18"
"542"," NY","Orange County",36071,47,384940,"12.2","11.2"
"543"," NY","Oswego County",36075,13,117124,NA,NA
"544"," NY","Queens County",36081,142,2253858,"6.3","5.9"
"545"," NY","Rensselaer County",36083,15,158714,NA,NA
"546"," NY","Richmond County",36085,33,476143,"6.9","6.6"
"547"," NY","Rockland County",36087,21,325789,"6.4","6.2"
"548"," NY","St. Lawrence County",36089,14,107740,NA,NA
"549"," NY","Saratoga County",36091,27,229863,"11.7","10.6"
"550"," NY","Schenectady County",36093,12,155299,NA,NA
"551"," NY","Steuben County",36101,11,95379,NA,NA
"552"," NY","Suffolk County",36103,136,1476601,"9.2","8.5"
"553"," NY","Sullivan County",36105,14,75432,NA,NA
"554"," NY","Tompkins County",36109,16,102180,NA,NA
"555"," NY","Ulster County",36111,24,177573,"13.5","12.2"
"556"," NY","Wayne County",36117,16,89918,NA,NA
"557"," NY","Westchester County",36119,62,967506,"6.4","6.2"
"558"," NC","Alamance County",37001,22,169509,"13","13.3"
"559"," NC","Brunswick County",37019,25,142820,"17.5","17.9"
"560"," NC","Buncombe County",37021,55,261191,"21.1","20.5"
"561"," NC","Burke County",37023,13,90485,NA,NA
"562"," NC","Cabarrus County",37025,19,216453,NA,NA
"563"," NC","Caldwell County",37027,10,82178,NA,NA
"564"," NC","Carteret County",37031,14,69473,NA,NA
"565"," NC","Catawba County",37035,26,159551,"16.3","16.4"
"566"," NC","Chatham County",37037,11,74470,NA,NA
"567"," NC","Cleveland County",37045,14,97947,NA,NA
"568"," NC","Craven County",37049,13,102139,NA,NA
"569"," NC","Cumberland County",37051,47,335509,"14","14"
"570"," NC","Davidson County",37057,26,167609,"15.5","15.1"
"571"," NC","Durham County",37063,25,321488,"7.8","7.4"
"572"," NC","Forsyth County",37067,40,382295,"10.5","9.9"
"573"," NC","Franklin County",37069,12,69685,NA,NA
"574"," NC","Gaston County",37071,34,224529,"15.1","15.6"
"575"," NC","Guilford County",37081,56,537174,"10.4","10.1"
"576"," NC","Harnett County",37085,18,135976,NA,NA
"577"," NC","Haywood County",37087,15,62317,NA,NA
"578"," NC","Henderson County",37089,26,117417,"22.1","20.6"
"579"," NC","Iredell County",37097,24,181806,"13.2","12.4"
"580"," NC","Johnston County",37101,24,209339,"11.5","11.1"
"581"," NC","Lenoir County",37107,10,55949,NA,NA
"582"," NC","Lincoln County",37109,19,86111,NA,NA
"583"," NC","Mecklenburg County",37119,96,1110356,"8.6","8.4"
"584"," NC","Moore County",37125,15,100880,NA,NA
"585"," NC","Nash County",37127,15,94298,NA,NA
"586"," NC","New Hanover County",37129,46,234473,"19.6","18.5"
"587"," NC","Onslow County",37133,36,197938,"18.2","18"
"588"," NC","Orange County",37135,20,148476,"13.5","13"
"589"," NC","Pender County",37141,17,63060,NA,NA
"590"," NC","Pitt County",37147,20,180742,"11.1","11.6"
"591"," NC","Randolph County",37151,16,143667,NA,NA
"592"," NC","Robeson County",37155,14,130625,NA,NA
"593"," NC","Rockingham County",37157,16,91010,NA,NA
"594"," NC","Rowan County",37159,17,142088,NA,NA
"595"," NC","Rutherford County",37161,12,67029,NA,NA
"596"," NC","Surry County",37171,10,71783,NA,NA
"597"," NC","Union County",37179,25,239859,"10.4","10"
"598"," NC","Wake County",37183,109,1111761,"9.8","9.7"
"599"," NC","Watauga County",37189,12,56177,NA,NA
"600"," NC","Wayne County",37191,16,123131,NA,NA
"601"," NC","Wilkes County",37193,16,68412,NA,NA
"602"," ND","Burleigh County",38015,12,95626,NA,NA
"603"," ND","Cass County",38017,34,181923,"18.7","18.9"
"604"," ND","Ward County",38101,14,67641,NA,NA
"605"," OH","Ashtabula County",39007,16,97241,NA,NA
"606"," OH","Athens County",39009,11,65327,NA,NA
"607"," OH","Belmont County",39013,10,67006,NA,NA
"608"," OH","Butler County",39017,53,383134,"13.8","14.8"
"609"," OH","Champaign County",39021,10,38885,NA,NA
"610"," OH","Clark County",39023,26,134083,"19.4","19.6"
"611"," OH","Clermont County",39025,43,206428,"20.8","19.9"
"612"," OH","Columbiana County",39029,21,101883,"20.6","19"
"613"," OH","Coshocton County",39031,10,36600,NA,NA
"614"," OH","Crawford County",39033,13,41494,NA,NA
"615"," OH","Cuyahoga County",39035,185,1235072,"15","14.7"
"616"," OH","Delaware County",39041,27,209177,"12.9","13.3"
"617"," OH","Erie County",39043,14,74266,NA,NA
"618"," OH","Fairfield County",39045,22,157574,"14","13.8"
"619"," OH","Franklin County",39049,153,1316756,"11.6","11.4"
"620"," OH","Gallia County",39053,10,29898,NA,NA
"621"," OH","Geauga County",39055,12,93649,NA,NA
"622"," OH","Greene County",39057,19,168937,NA,NA
"623"," OH","Hamilton County",39061,110,817473,"13.5","13.6"
"624"," OH","Hancock County",39063,14,75783,NA,NA
"625"," OH","Huron County",39077,14,58266,NA,NA
"626"," OH","Jackson County",39079,12,32413,NA,NA
"627"," OH","Jefferson County",39081,16,65325,NA,NA
"628"," OH","Knox County",39083,10,62322,NA,NA
"629"," OH","Lake County",39085,43,230149,"18.7","16.8"
"630"," OH","Licking County",39089,31,176862,"17.5","18"
"631"," OH","Logan County",39091,10,45672,NA,NA
"632"," OH","Lorain County",39093,51,309833,"16.5","16.3"
"633"," OH","Lucas County",39095,73,428348,"17","17.1"
"634"," OH","Mahoning County",39099,37,228683,"16.2","14.8"
"635"," OH","Marion County",39101,18,65093,NA,NA
"636"," OH","Medina County",39103,31,179746,"17.2","16.2"
"637"," OH","Miami County",39109,12,106987,NA,NA
"638"," OH","Montgomery County",39113,91,531687,"17.1","16.6"
"639"," OH","Muskingum County",39119,17,86215,NA,NA
"640"," OH","Ottawa County",39123,11,40525,NA,NA
"641"," OH","Pickaway County",39129,10,58457,NA,NA
"642"," OH","Portage County",39133,23,162466,"14.2","14"
"643"," OH","Richland County",39139,11,121154,NA,NA
"644"," OH","Ross County",39141,10,76666,NA,NA
"645"," OH","Scioto County",39145,13,75314,NA,NA
"646"," OH","Seneca County",39147,14,55178,NA,NA
"647"," OH","Stark County",39151,73,370606,"19.7","19.8"
"648"," OH","Summit County",39153,90,541013,"16.6","16.8"
"649"," OH","Trumbull County",39155,36,197974,"18.2","16.8"
"650"," OH","Tuscarawas County",39157,11,91987,NA,NA
"651"," OH","Warren County",39165,31,234602,"13.2","12.6"
"652"," OH","Washington County",39167,11,59911,NA,NA
"653"," OH","Wayne County",39169,24,115710,"20.7","21.1"
"654"," OH","Wood County",39173,11,130817,NA,NA
"655"," OK","Bryan County",40013,11,47995,NA,NA
"656"," OK","Caddo County",40015,10,28762,NA,NA
"657"," OK","Canadian County",40017,26,148306,"17.5","17.6"
"658"," OK","Carter County",40019,11,48111,NA,NA
"659"," OK","Cleveland County",40027,58,284014,"20.4","19.3"
"660"," OK","Comanche County",40031,17,120749,NA,NA
"661"," OK","Creek County",40037,17,71522,NA,NA
"662"," OK","Custer County",40039,10,29003,NA,NA
"663"," OK","Garfield County",40047,10,61056,NA,NA
"664"," OK","Grady County",40051,10,55834,NA,NA
"665"," OK","Kay County",40071,12,43538,NA,NA
"666"," OK","McCurtain County",40089,10,32832,NA,NA
"667"," OK","Muskogee County",40101,13,67997,NA,NA
"668"," OK","Oklahoma County",40109,174,797434,"21.8","21.2"
"669"," OK","Okmulgee County",40111,13,38465,NA,NA
"670"," OK","Osage County",40113,18,46963,NA,NA
"671"," OK","Ottawa County",40115,10,31127,NA,NA
"672"," OK","Payne County",40119,14,81784,NA,NA
"673"," OK","Pittsburg County",40121,11,43654,NA,NA
"674"," OK","Pontotoc County",40123,10,38284,NA,NA
"675"," OK","Pottawatomie County",40125,13,72592,NA,NA
"676"," OK","Rogers County",40131,16,92459,NA,NA
"677"," OK","Stephens County",40137,11,43143,NA,NA
"678"," OK","Tulsa County",40143,111,651552,"17","17.5"
"679"," OK","Wagoner County",40145,18,81289,NA,NA
"680"," OK","Washington County",40147,12,51527,NA,NA
"681"," OR","Clackamas County",41005,80,418187,"19.1","18.4"
"682"," OR","Coos County",41011,24,64487,"37.2","29.7"
"683"," OR","Crook County",41013,10,24404,NA,NA
"684"," OR","Deschutes County",41017,32,197692,"16.2","16.1"
"685"," OR","Douglas County",41019,47,110980,"42.3","41.9"
"686"," OR","Jackson County",41029,74,220944,"33.5","31.6"
"687"," OR","Josephine County",41033,23,87487,"26.3","25"
"688"," OR","Klamath County",41035,31,68238,"45.4","48.6"
"689"," OR","Lane County",41039,106,382067,"27.7","27.1"
"690"," OR","Lincoln County",41041,22,49962,"44","44"
"691"," OR","Linn County",41043,30,129749,"23.1","22.3"
"692"," OR","Marion County",41047,52,347818,"15","14.8"
"693"," OR","Multnomah County",41051,162,812855,"19.9","18.5"
"694"," OR","Polk County",41053,16,86085,NA,NA
"695"," OR","Umatilla County",41059,10,77950,NA,NA
"696"," OR","Washington County",41067,95,601592,"15.8","14.9"
"697"," OR","Yamhill County",41071,17,107100,NA,NA
"698"," PA","Adams County",42001,10,103009,NA,NA
"699"," PA","Allegheny County",42003,187,1216045,"15.4","14.6"
"700"," PA","Armstrong County",42005,12,64735,NA,NA
"701"," PA","Beaver County",42007,25,163929,"15.3","13.5"
"702"," PA","Bedford County",42009,13,47888,NA,NA
"703"," PA","Berks County",42011,72,421164,"17.1","16.4"
"704"," PA","Blair County",42013,20,121829,"16.4","17.7"
"705"," PA","Bradford County",42015,10,60323,NA,NA
"706"," PA","Bucks County",42017,103,628270,"16.4","15.4"
"707"," PA","Butler County",42019,29,187853,"15.4","15.7"
"708"," PA","Cambria County",42021,22,130192,"16.9","17.2"
"709"," PA","Carbon County",42025,13,64182,NA,NA
"710"," PA","Centre County",42027,25,162385,"15.4","16.2"
"711"," PA","Chester County",42029,60,524989,"11.4","10.8"
"712"," PA","Clearfield County",42033,18,79255,NA,NA
"713"," PA","Clinton County",42035,10,38632,NA,NA
"714"," PA","Columbia County",42037,20,64964,"30.8","25.8"
"715"," PA","Crawford County",42039,15,84629,NA,NA
"716"," PA","Cumberland County",42041,27,253370,"10.7","10.3"
"717"," PA","Dauphin County",42043,35,278299,"12.6","12.1"
"718"," PA","Delaware County",42045,85,566747,"15","13.8"
"719"," PA","Erie County",42049,47,269728,"17.4","15.3"
"720"," PA","Fayette County",42051,23,129274,"17.8","16.2"
"721"," PA","Franklin County",42055,24,155027,"15.5","14.6"
"722"," PA","Greene County",42059,10,36233,NA,NA
"723"," PA","Indiana County",42063,10,84073,NA,NA
"724"," PA","Lackawanna County",42069,33,209674,"15.7","14.3"
"725"," PA","Lancaster County",42071,55,545724,"10.1","9.4"
"726"," PA","Lawrence County",42073,24,85512,"28.1","27.3"
"727"," PA","Lebanon County",42075,19,141793,NA,NA
"728"," PA","Lehigh County",42077,44,369318,"11.9","10.7"
"729"," PA","Luzerne County",42079,64,317417,"20.2","17.9"
"730"," PA","Lycoming County",42081,16,113299,NA,NA
"731"," PA","Mercer County",42085,20,109424,"18.3","20.6"
"732"," PA","Monroe County",42089,23,170271,"13.5","12.4"
"733"," PA","Montgomery County",42091,112,830915,"13.5","12.3"
"734"," PA","Northampton County",42095,37,305285,"12.1","10.2"
"735"," PA","Northumberland County",42097,14,90843,NA,NA
"736"," PA","Philadelphia County",42101,168,1584064,"10.6","10.5"
"737"," PA","Pike County",42103,10,55809,NA,NA
"738"," PA","Schuylkill County",42107,32,141359,"22.6","22"
"739"," PA","Somerset County",42111,11,73447,NA,NA
"740"," PA","Tioga County",42117,11,40591,NA,NA
"741"," PA","Washington County",42125,38,206865,"18.4","17.7"
"742"," PA","Wayne County",42127,16,51361,NA,NA
"743"," PA","Westmoreland County",42129,55,348899,"15.8","14.2"
"744"," PA","York County",42133,73,449058,"16.3","15.4"
"745"," RI","Kent County",44003,15,164292,NA,NA
"746"," RI","Newport County",44005,12,82082,NA,NA
"747"," RI","Providence County",44007,73,638931,"11.4","10.5"
"748"," RI","Washington County",44009,14,125577,NA,NA
"749"," SC","Aiken County",45003,32,170872,"18.7","19.1"
"750"," SC","Anderson County",45007,33,202558,"16.3","16.4"
"751"," SC","Beaufort County",45013,26,192122,"13.5","13.9"
"752"," SC","Berkeley County",45015,42,227907,"18.4","18.1"
"753"," SC","Charleston County",45019,71,411406,"17.3","15.8"
"754"," SC","Cherokee County",45021,16,57300,NA,NA
"755"," SC","Chesterfield County",45025,11,45650,NA,NA
"756"," SC","Clarendon County",45027,12,33745,NA,NA
"757"," SC","Darlington County",45031,13,66618,NA,NA
"758"," SC","Dorchester County",45035,21,162809,"12.9","13"
"759"," SC","Florence County",45041,18,138293,NA,NA
"760"," SC","Georgetown County",45043,10,62680,NA,NA
"761"," SC","Greenville County",45045,86,523542,"16.4","16.2"
"762"," SC","Greenwood County",45047,15,70811,NA,NA
"763"," SC","Horry County",45051,51,354081,"14.4","13.9"
"764"," SC","Kershaw County",45055,18,66551,NA,NA
"765"," SC","Lancaster County",45057,14,98012,NA,NA
"766"," SC","Laurens County",45059,14,67493,NA,NA
"767"," SC","Lexington County",45063,47,298750,"15.7","14.3"
"768"," SC","Oconee County",45073,14,79546,NA,NA
"769"," SC","Pickens County",45077,30,126884,"23.6","24"
"770"," SC","Richland County",45079,57,415759,"13.7","13.4"
"771"," SC","Spartanburg County",45083,57,319785,"17.8","17.1"
"772"," SC","Sumter County",45085,15,106721,NA,NA
"773"," SC","York County",45091,50,280979,"17.8","17.2"
"774"," SD","Minnehaha County",46099,33,193134,"17.1","17.5"
"775"," SD","Pennington County",46103,30,113775,"26.4","24.3"
"776"," TN","Anderson County",47001,25,76978,"32.5","34.4"
"777"," TN","Blount County",47009,18,133088,NA,NA
"778"," TN","Bradley County",47011,18,108110,NA,NA
"779"," TN","Campbell County",47013,10,39842,NA,NA
"780"," TN","Carter County",47019,14,56391,NA,NA
"781"," TN","Cocke County",47029,11,36004,NA,NA
"782"," TN","Coffee County",47031,15,56520,NA,NA
"783"," TN","Cumberland County",47035,12,60520,NA,NA
"784"," TN","Davidson County",47037,90,694144,"13","12.5"
"785"," TN","Dickson County",47043,13,53948,NA,NA
"786"," TN","Franklin County",47051,12,42208,NA,NA
"787"," TN","Gibson County",47053,12,49133,NA,NA
"788"," TN","Greene County",47059,17,69069,NA,NA
"789"," TN","Hamblen County",47063,14,64934,NA,NA
"790"," TN","Hamilton County",47065,61,367804,"16.6","16.1"
"791"," TN","Hardin County",47071,10,25652,NA,NA
"792"," TN","Hawkins County",47073,16,56786,NA,NA
"793"," TN","Henry County",47079,10,32345,NA,NA
"794"," TN","Jefferson County",47089,20,54495,"36.7","34"
"795"," TN","Knox County",47093,81,470313,"17.2","16.7"
"796"," TN","Loudon County",47105,10,54068,NA,NA
"797"," TN","Madison County",47113,10,97984,NA,NA
"798"," TN","Maury County",47119,16,96387,NA,NA
"799"," TN","Montgomery County",47125,33,208993,"15.8","17.3"
"800"," TN","Putnam County",47141,16,80245,NA,NA
"801"," TN","Roane County",47145,10,53382,NA,NA
"802"," TN","Robertson County",47147,17,71813,NA,NA
"803"," TN","Rutherford County",47149,47,332285,"14.1","14.2"
"804"," TN","Sevier County",47155,24,98250,"24.4","25.8"
"805"," TN","Shelby County",47157,114,937166,"12.2","12.1"
"806"," TN","Sullivan County",47163,38,158348,"24","21.8"
"807"," TN","Sumner County",47165,30,191283,"15.7","15.4"
"808"," TN","Tipton County",47167,12,61599,NA,NA
"809"," TN","Washington County",47179,33,129375,"25.5","23.4"
"810"," TN","Williamson County",47187,29,238412,"12.2","11.6"
"811"," TN","Wilson County",47189,33,144657,"22.8","22.9"
"812"," TX","Anderson County",48001,17,57735,NA,NA
"813"," TX","Angelina County",48005,11,86715,NA,NA
"814"," TX","Aransas County",48007,10,23510,NA,NA
"815"," TX","Bastrop County",48021,12,88723,NA,NA
"816"," TX","Bell County",48027,71,362924,"19.6","18.9"
"817"," TX","Bexar County",48029,245,2003554,"12.2","12.2"
"818"," TX","Bowie County",48037,19,93245,NA,NA
"819"," TX","Brazoria County",48039,42,374264,"11.2","11"
"820"," TX","Brazos County",48041,22,229211,"9.6","9.5"
"821"," TX","Burnet County",48053,10,48155,NA,NA
"822"," TX","Cameron County",48061,29,423163,"6.9","7.2"
"823"," TX","Cherokee County",48073,10,52646,NA,NA
"824"," TX","Collin County",48085,111,1034730,"10.7","10.9"
"825"," TX","Comal County",48091,40,156209,"25.6","25.8"
"826"," TX","Coryell County",48099,15,75951,NA,NA
"827"," TX","Dallas County",48113,286,2635516,"10.9","11"
"828"," TX","Denton County",48121,112,887207,"12.6","12.2"
"829"," TX","Ector County",48135,21,166223,"12.6","13.8"
"830"," TX","Ellis County",48139,30,184826,"16.2","16.6"
"831"," TX","El Paso County",48141,100,839238,"11.9","12.2"
"832"," TX","Fort Bend County",48157,73,811688,"9","8.8"
"833"," TX","Galveston County",48167,53,342139,"15.5","14.4"
"834"," TX","Grayson County",48181,29,136212,"21.3","21.8"
"835"," TX","Gregg County",48183,22,123945,"17.7","18.3"
"836"," TX","Guadalupe County",48187,17,166847,NA,NA
"837"," TX","Hardin County",48199,14,57602,NA,NA
"838"," TX","Harris County",48201,507,4713325,"10.8","10.7"
"839"," TX","Harrison County",48203,14,66553,NA,NA
"840"," TX","Hays County",48209,29,230191,"12.6","11.2"
"841"," TX","Henderson County",48213,21,82737,"25.4","22.4"
"842"," TX","Hidalgo County",48215,65,868707,"7.5","8"
"843"," TX","Hill County",48217,12,36649,NA,NA
"844"," TX","Hood County",48221,11,61643,NA,NA
"845"," TX","Howard County",48227,10,36664,NA,NA
"846"," TX","Hunt County",48231,11,98594,NA,NA
"847"," TX","Jefferson County",48245,39,251565,"15.5","15.9"
"848"," TX","Johnson County",48251,26,175817,"14.8","15.8"
"849"," TX","Kaufman County",48257,19,136154,NA,NA
"850"," TX","Kerr County",48265,14,52600,NA,NA
"851"," TX","Lamar County",48277,11,49859,NA,NA
"852"," TX","Liberty County",48291,21,88219,"23.8","23.3"
"853"," TX","Lubbock County",48303,53,310569,"17.1","17.4"
"854"," TX","McLennan County",48309,41,256623,"16","16.6"
"855"," TX","Medina County",48325,10,51584,NA,NA
"856"," TX","Midland County",48329,34,176832,"19.2","20.6"
"857"," TX","Montgomery County",48339,109,607391,"17.9","18.2"
"858"," TX","Nacogdoches County",48347,12,65204,NA,NA
"859"," TX","Nueces County",48355,55,362294,"15.2","15"
"860"," TX","Orange County",48361,12,83396,NA,NA
"861"," TX","Parker County",48367,24,142878,"16.8","15.9"
"862"," TX","Polk County",48373,14,51353,NA,NA
"863"," TX","Potter County",48375,31,117415,"26.4","26.5"
"864"," TX","Randall County",48381,31,137713,"22.5","22.4"
"865"," TX","Rockwall County",48397,16,104915,NA,NA
"866"," TX","Rusk County",48401,10,54406,NA,NA
"867"," TX","San Patricio County",48409,14,66730,NA,NA
"868"," TX","Smith County",48423,53,232751,"22.8","23.1"
"869"," TX","Tarrant County",48439,264,2102515,"12.6","12.7"
"870"," TX","Taylor County",48441,23,138034,"16.7","16.6"
"871"," TX","Tom Green County",48451,23,119200,"19.3","19.5"
"872"," TX","Travis County",48453,166,1273954,"13","12.6"
"873"," TX","Victoria County",48469,17,92084,NA,NA
"874"," TX","Webb County",48479,20,276652,"7.2","7.6"
"875"," TX","Wharton County",48481,10,41556,NA,NA
"876"," TX","Wichita County",48485,19,132230,NA,NA
"877"," TX","Williamson County",48491,85,590551,"14.4","14.5"
"878"," TX","Wise County",48497,13,69984,NA,NA
"879"," UT","Box Elder County",49003,16,56046,NA,NA
"880"," UT","Cache County",49005,24,128289,"18.7","20.5"
"881"," UT","Davis County",49011,62,355481,"17.4","18.6"
"882"," UT","Salt Lake County",49035,258,1160437,"22.2","22.2"
"883"," UT","Sevier County",49041,10,21620,NA,NA
"884"," UT","Tooele County",49045,13,72259,NA,NA
"885"," UT","Uintah County",49047,12,35734,NA,NA
"886"," UT","Utah County",49049,105,636235,"16.5","17.3"
"887"," UT","Washington County",49053,32,177556,"18","19.6"
"888"," UT","Weber County",49057,55,260213,"21.1","22"
"889"," VT","Chittenden County",50007,16,163774,NA,NA
"890"," VT","Franklin County",50011,14,49402,NA,NA
"891"," VT","Orange County",50017,10,28892,NA,NA
"892"," VT","Rutland County",50021,11,58191,NA,NA
"893"," VT","Windsor County",50027,11,55062,NA,NA
"894"," VA","Albemarle County",51003,14,109330,NA,NA
"895"," VA","Arlington County",51013,13,236842,NA,NA
"896"," VA","Augusta County",51015,15,75558,NA,NA
"897"," VA","Bedford County",51019,15,78997,NA,NA
"898"," VA","Chesterfield County",51041,48,352802,"13.6","13.1"
"899"," VA","Culpeper County",51047,10,52605,NA,NA
"900"," VA","Fairfax County",51059,92,1147532,"8","7.8"
"901"," VA","Frederick County",51069,18,89313,NA,NA
"902"," VA","Hanover County",51085,23,107766,"21.3","19.1"
"903"," VA","Henrico County",51087,36,330818,"10.9","9.9"
"904"," VA","Henry County",51089,12,50557,NA,NA
"905"," VA","Loudoun County",51107,34,413538,"8.2","9"
"906"," VA","Louisa County",51109,12,37591,NA,NA
"907"," VA","Montgomery County",51121,16,98535,NA,NA
"908"," VA","Pittsylvania County",51143,13,60354,NA,NA
"909"," VA","Prince William County",51153,39,470335,"8.3","8.4"
"910"," VA","Rockingham County",51165,14,81948,NA,NA
"911"," VA","Scott County",51169,10,21566,NA,NA
"912"," VA","Spotsylvania County",51177,18,136215,NA,NA
"913"," VA","Stafford County",51179,12,152882,NA,NA
"914"," VA","Tazewell County",51185,10,40595,NA,NA
"915"," VA","Warren County",51187,15,40164,NA,NA
"916"," VA","Alexandria city",51510,14,159428,NA,NA
"917"," VA","Chesapeake city",51550,43,244835,"17.6","17.4"
"918"," VA","Hampton city",51650,21,134510,"15.6","15.2"
"919"," VA","Hopewell city",51670,11,22529,NA,NA
"920"," VA","Newport News city",51700,25,179225,"13.9","13.4"
"921"," VA","Norfolk city",51710,33,242742,"13.6","13"
"922"," VA","Portsmouth city",51740,12,94398,NA,NA
"923"," VA","Richmond city",51760,28,230436,"12.2","12.6"
"924"," VA","Roanoke city",51770,18,99143,NA,NA
"925"," VA","Suffolk city",51800,11,92108,NA,NA
"926"," VA","Virginia Beach city",51810,57,449974,"12.7","12.3"
"927"," WA","Benton County",53005,35,204390,"17.1","17.9"
"928"," WA","Chelan County",53007,20,77200,"25.9","27.4"
"929"," WA","Clallam County",53009,17,77331,NA,NA
"930"," WA","Clark County",53011,88,488241,"18","17.3"
"931"," WA","Cowlitz County",53015,24,110593,"21.7","22"
"932"," WA","Grant County",53025,16,97733,NA,NA
"933"," WA","Grays Harbor County",53027,13,75061,NA,NA
"934"," WA","Island County",53029,15,85141,NA,NA
"935"," WA","Jefferson County",53031,12,32221,NA,NA
"936"," WA","King County",53033,319,2252782,"14.2","13.5"
"937"," WA","Kitsap County",53035,59,271473,"21.7","21.1"
"938"," WA","Lewis County",53041,18,80707,NA,NA
"939"," WA","Mason County",53045,11,66768,NA,NA
"940"," WA","Pierce County",53053,182,904980,"20.1","19.5"
"941"," WA","Skagit County",53057,20,129205,"15.5","15.5"
"942"," WA","Snohomish County",53061,111,822083,"13.5","12.9"
"943"," WA","Spokane County",53063,91,522798,"17.4","16.8"
"944"," WA","Thurston County",53067,46,290536,"15.8","14.4"
"945"," WA","Walla Walla County",53071,14,60760,NA,NA
"946"," WA","Whatcom County",53073,51,229247,"22.2","21.8"
"947"," WA","Yakima County",53077,29,250873,"11.6","12"
