"","FIPS","UnempRate2019","MedHHInc","Deep_Pov_All","PovertyAllAgesPct","PerCapitaInc","AvgHHSize","PctEmpFIRE","PctEmpConstruction","PctEmpTrans","PctEmpMining","PctEmpTrade","PctEmpInformation","PctEmpAgriculture","PctEmpManufacturing","PctEmpServices","HispanicPct2010","NativeAmericanNonHispanicPct2010","WhiteNonHispanicPct2010","BlackNonHispanicPct2010","AsianNonHispanicPct2010","Ed1LessThanHSPct","Ed2HSDiplomaOnlyPct","Ed3SomeCollegePct","Ed4AssocDegreePct","Ed5CollegePlusPct","Net_International_Migration_Rate_2010_2019"
"2384",45043,3.8,46058,6.552776684,19.6,29929,2.43,6.269617706,7.750503018,4.124748491,0.104627767,15.5694165,0.663983903,2.398390342,10.73239437,49.95975855,3.1,0.21,62.02,33.46,0.45,12.9295948,29.03225806,21.6005977,9.255515514,27.18203393,0.078
"2385",45045,2.4,61162,5.565267466,11.1,30776,2.57,5.954178155,5.877240043,3.678473548,0.053648738,13.79770683,2.082319622,0.49697862,17.62381838,48.03267167,8.09,0.2,70.3,17.86,1.94,12.24960817,24.68261234,19.86661571,9.041215213,34.15994857,2.328
"2386",45047,3.1,43879,9.571832979,18.3,23945,2.49,3.13175305,4.385119186,3.99281891,0.046544101,14.05631836,1.070514312,1.712157984,22.73679311,45.99554506,5.44,0.2,61.31,31.19,0.82,16.25217872,30.76775921,17.72945628,11.70981592,23.54078987,1.095
"2387",45049,2.7,35871,7.090424664,25.8,17523,2.66,3.998940678,7.8125,6.673728814,0,17.95550847,0.410487288,4.131355932,13.29449153,40.29396186,3.53,0.21,41.25,53.41,0.5,17.60756569,46.93907017,15.66560785,8.381461161,11.40629512,0.043
"2388",45051,3.6,49082,7.330492646,14.3,26917,2.46,6.737601113,9.011813818,3.499869985,0.018975199,18.51909116,1.73728486,0.684512724,3.867426612,52.84803677,6.2,0.4,77.28,13.28,1.03,10.18139312,32.76595925,23.24567905,10.25212077,23.55484781,0.878
"2389",45053,2.5,43125,6.854868162,19,22406,2.74,2.331308488,15.03858151,4.621572812,0,20.12805779,1.740272533,1.970119849,5.245444098,43.43293384,15.14,0.2,37.39,45.62,0.68,18.53880811,38.32684825,19.85971739,6.343436412,16.93118984,1.603
"2390",45055,3,52270,8.959004347,14.5,24253,2.58,9.200879765,8.427419355,3.984604106,0.26026393,11.95747801,1.202346041,1.389296188,11.86217009,44.75073314,3.72,0.29,69.71,24.4,0.48,13.47764579,36.89623425,20.22769632,9.543484607,19.85493903,0.501
"2391",45057,3.3,58035,5.927221994,13.3,29271,2.68,8.559231031,7.176344255,4.840103717,0.348340798,15.71200335,1.809800686,0.481915089,15.57842906,42.52376837,4.41,0.28,69.78,23.69,0.64,13.57846294,31.90506856,18.60304396,9.040790362,26.87263417,0.512
"2392",45059,3,42099,8.266119633,19.7,21743,2.54,3.815756535,5.900654436,5.246218217,0.139470014,15.38461538,1.183707041,0.661588528,24.57533169,39.66312627,4.1,0.21,68.98,25.26,0.26,19.52875224,34.99321158,20.34993212,9.775325187,15.35277887,0.525
"2393",45061,4,33199,9.85283113,28.1,17544,2.51,4.854700855,3.709401709,6.94017094,0.341880342,16.08547009,0.786324786,4.495726496,20.06837607,35.93162393,1.74,0.25,32.89,64.07,0.3,21.29180705,42.10699318,16.35302819,7.905333224,12.34283836,0
"2394",45063,2.3,60627,5.531403102,12.5,30316,2.54,7.080920693,8.571716648,5.668625587,0.164203612,14.78192608,1.648517846,0.609281825,9.590787313,45.32307781,5.54,0.36,76.96,14.1,1.41,10.4251578,28.66588065,21.54451299,9.297976359,30.0664722,1.306
"2395",45065,3.1,44683,10.26497971,18.6,24419,2.11,3.646031143,7.481959742,3.646031143,0,11.96353969,1.177364223,1.101405241,16.52107862,46.14508166,0.79,0.09,48.28,49.54,0.33,18.74053508,32.92529026,18.56385664,9.553255931,20.21706209,-0.245
"2396",45067,4.3,34365,11.28990731,25.5,19992,2.72,3.113855788,3.983647908,6.732191006,0,14.22110116,1.008958859,5.401409063,18.99625989,41.53257371,2.39,0.4,40.02,55.55,0.53,19.20825845,39.01562284,20.02857275,7.3183096,14.42923637,0.452
"2397",45069,4.8,33534,8.751347318,30,17034,2.52,1.643094842,3.130199667,5.917221298,0,18.52121464,1.175124792,2.235856905,26.81988353,33.83943428,2.77,4.37,40.29,50.64,0.26,24.09551375,41.35311143,17.92950176,7.246227,9.375646062,0.142
"2398",45071,2.7,48029,8.215059588,17.1,23344,2.47,3.851995869,6.3308828,4.028191263,0.060757033,14.83079166,1.464244486,3.11076007,21.7813962,38.78728963,7.17,0.26,60.49,30.75,0.31,18.97433925,36.00969492,17.08152195,10.87215789,17.062286,0.298
"2399",45073,2.8,50529,7.990250972,14.4,28076,2.38,3.976615701,8.081716562,5.438134395,0.012848516,11.23602724,0.941153797,0.83515354,20.06295773,46.93884106,4.51,0.2,85.91,7.47,0.57,16.06581088,29.8535527,19.38528295,10.08497559,24.61037787,1.232
"2400",45075,4.8,37134,12.4643575,25.9,19992,2.6,4.064064064,5.617045617,6.209066209,0.148720149,12.44101244,1.138281138,1.87044187,18.78163878,44.51594452,1.91,0.51,33.74,61.93,0.81,14.43516766,32.26068145,20.17306652,13.58335587,19.5477285,0.34
