"","State","County","FIPS","Population","Age.Adjusted.Rate","per_unhealthy_days","Median.AQI","Avg_Temperature","Total_Precipitation","UnempRate2019","MedHHInc","Deep_Pov_All","PovertyAllAgesPct","PerCapitaInc","AvgHHSize","PctEmpFIRE","PctEmpConstruction","PctEmpTrans","PctEmpMining","PctEmpTrade","PctEmpInformation","PctEmpAgriculture","PctEmpManufacturing","PctEmpServices","HispanicPct2010","NativeAmericanNonHispanicPct2010","WhiteNonHispanicPct2010","BlackNonHispanicPct2010","AsianNonHispanicPct2010","Ed1LessThanHSPct","Ed2HSDiplomaOnlyPct","Ed3SomeCollegePct","Ed4AssocDegreePct","Ed5CollegePlusPct","Net_International_Migration_Rate_2010_2019","per_gop","per_dem","per_point_diff"
"36","CA","Mendocino County",6045,86749,21.6,0,33,56.1,59.52,4,51386,7.670447928,17.5,27395,2.5,3.813109885,8.042532881,2.863809928,0.063640221,14.6531608,1.641387357,7.029592703,7.239075095,48.65560034,22.2,3.97,68.59,0.62,1.6,13.10862635,25.76902539,28.51340637,7.94673053,24.66221136,-0.188,0.306142698910836,0.664159128669005,-0.358016429758169
"37","CA","Merced County",6047,277680,11.1,0.0191780821917808,48,62.9,11.64,8.1,56169,10.29349132,21.2,21634,3.31,2.834232935,6.698298876,5.530115552,0.080866736,14.26080009,1.011321343,12.38235351,11.52886845,41.47684094,54.92,0.44,31.9,3.43,7.11,30.6472025,25.84190744,22.44263893,7.114924636,13.9533265,0.172,0.435128836659635,0.541091881026275,-0.105963044366641
"38","CA","Monterey County",6053,434061,9.4,0.00273972602739726,37,59.1,24.63,6.2,69665,5.182907774,13.3,28836,3.3,3.540602621,6.022429401,3.478448858,0.101607891,12.14268342,1.302526686,17.8727199,5.196595055,45.14903391,55.41,0.33,32.87,2.72,5.73,28.70963982,20.44709465,18.23092726,8.149624082,24.46271419,0.798,0.282512524178835,0.695331425468169,-0.412818901289335
"39","CA","Nevada County",6057,99755,16.9,0.0138504155124654,44,51.9,61.07,3.3,66681,5.507376497,10.3,37145,2.39,5.792289246,8.241099428,4.203560229,0.191385353,12.97269876,1.501106807,1.233628482,6.184283343,53.83231876,8.54,0.8,86.55,0.35,1.14,5.788035948,18.40268155,28.697362,10.48603138,36.62588912,0.095,0.413651950940715,0.561633043961815,-0.1479810930211
"40","CA","Orange County",6059,3175692,10,0.0438356164383562,48,63.9,19.58,2.8,89373,5.183126896,10.5,39590,3.02,8.567441807,5.712831867,3.499761419,0.065079125,14.06805363,2.026261043,0.490723215,12.60418522,50.17594176,33.65,0.21,44.13,1.46,17.69,14.88906406,17.14412934,20.30832271,7.796377617,39.86210628,2.741,0.444559956628169,0.534925167162266,-0.0903652105340977
"41","CA","Placer County",6061,398329,12.5,0.0246575342465753,45,53.4,56.31,3.1,89175,4.017641405,7.1,41508,2.67,8.532909109,7.071755056,4.208815341,0.042653018,14.15503796,2.238130645,0.719913772,6.137999804,49.63485558,12.83,0.6,76.14,1.27,5.73,5.425206134,18.18911192,26.57458293,11.26060802,38.55049099,0.676,0.521187828965564,0.45472880685227,0.0664590221132939
"42","CA","Riverside County",6065,2470546,12.6,0.328767123287671,77,67.6,11.81,4.2,66793,6.246677186,12.7,27142,3.27,5.038723153,8.698594456,6.465302963,0.079281997,15.77354522,1.456347769,1.432136496,8.559974995,47.72855591,45.45,0.5,39.69,5.97,5.75,18.31719305,26.92074193,24.93228138,8.021413788,21.80836986,0.648,0.450433466244243,0.529982251775826,-0.0795487855315834
"43","CA","Sacramento County",6067,1552058,13.1,0.0273972602739726,46,62.9,24.11,3.7,69475,6.927757149,14.3,31311,2.77,7.041350167,6.375479396,5.496203458,0.062972017,13.43563371,1.809716641,0.799686306,5.560778929,48.82619869,21.58,0.56,48.43,9.86,14.02,12.63006491,22.30848488,24.88533345,9.73739557,30.43872119,2.621,0.36114243550655,0.613690849099946,-0.252548413593395
"44","CA","San Bernardino County",6071,2180085,10.7,0.364383561643836,80,65.5,9.44,3.8,63310,7.522077416,14.9,23956,3.3,4.750149871,7.578591158,9.626583449,0.136144369,16.23950204,1.286704354,0.534604761,8.830222929,45.69935065,49.19,0.42,33.29,8.39,6.09,20.48917516,26.45357394,24.48759228,8.293511104,20.27614751,0.612,0.435537517346845,0.542088470992269,-0.106550953645424
"45","CA","San Diego County",6073,3338330,12.2,0.0684931506849315,64,62.4,19.69,3.2,78777,5.921005048,11.5,36156,2.87,6.2076259,5.87259494,4.079543494,0.044794336,12.84798681,2.204635351,0.81601094,9.238943595,53.69403104,32.03,0.46,48.46,4.74,10.6,12.86368118,18.40768273,22.42382755,8.163621448,38.1411871,3.374,0.374655526989078,0.602258069752429,-0.227602542763351
